,brand,variant,kilometers,fuel,numbeer of owners,location,Sale Price
0,2010 Maruti Swift Dzire VXI MANUAL,DL-7C,"29,667 km",Petrol,1st Owner,New_Delhi,"₹2,56,499
₹2,51,299"
1,2013 Maruti Wagon R 1.0 VXI MANUAL,DL-13,"35,519 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,78,499"
2,2011 Maruti Wagon R 1.0 LXI MANUAL,DL-9C,"35,454 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,11,199"
3,2010 Maruti Wagon R LXI MINOR MANUAL,DL-9C,"44,461 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹1,64,199"
4,2020 Maruti Swift LXI MANUAL,HR-51,"16,633 km",Petrol,2nd Owner,New_Delhi,"Fixed Price
₹5,66,499"
5,2009 Hyundai i10 ERA 1.1 IRDE MANUAL,UP-16,"45,140 km",Petrol,1st Owner,New_Delhi,"₹1,99,699
₹1,70,699"
6,2020 Maruti Swift LXI MANUAL,DL-1C,"12,421 km",Petrol,1st Owner,New_Delhi,"₹5,93,399
₹5,77,399"
7,2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT MANUAL,UP-14,"12,574 km",Petrol,2nd Owner,New_Delhi,"₹5,10,199
₹5,03,699"
8,2021 Maruti Swift LXI MANUAL,DL-12,"20,002 km",Petrol,1st Owner,New_Delhi,"₹5,79,099
₹5,74,099"
9,2020 Maruti Swift LXI MANUAL,DL-9C,"14,634 km",Petrol,1st Owner,New_Delhi,"₹5,92,599
₹5,87,599"
10,2021 Hyundai AURA S 1.2 Kappa MT MANUAL,HR-50,"5,150 km",Petrol,1st Owner,New_Delhi,"₹6,87,699
₹6,68,499"
11,2019 Maruti Swift LXI MANUAL,DL-11,"26,753 km",Petrol,1st Owner,New_Delhi,"₹5,61,399
₹5,41,899"
12,2019 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,UP-16,"20,225 km",Petrol,2nd Owner,New_Delhi,"₹5,21,699
₹4,90,449"
13,2014 Mercedes Benz C Class C 200 AVANTGARDE AUTOMATIC,UP-16,"37,838 km",Petrol,1st Owner,New_Delhi,"₹20,29,199
₹18,54,499"
14,2019 Maruti Swift LXI MANUAL,DL-3C,"13,950 km",Petrol,1st Owner,New_Delhi,"₹5,67,899
₹5,50,999"
15,2022 KIA CARENS LUXURY 1.4G MT 7STR,HR-98,"1,925 km",Petrol,1st Owner,New_Delhi,"₹16,69,399
₹16,08,099"
16,2013 Hyundai i10 MAGNA 1.1 IRDE2 MANUAL,DL-3C,"27,384 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,81,799"
17,2020 Maruti New Wagon-R LXI 1.0 L MANUAL,DL-2C,"2,610 km",Petrol,1st Owner,New_Delhi,"₹5,18,499
₹5,08,899"
18,2018 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,DL-8C,"26,383 km",Petrol,1st Owner,New_Delhi,"₹5,17,699
₹5,09,099"
